date,product,store,sales
2022-01-01,Motorola,Best Buy,793.0
2022-01-01,Google Pixel,Best Buy,183.0
2022-01-01,iPhone,Walmart,802.0
2022-01-01,LG,Target,330.0
2022-01-01,iPhone,Walmart,260.0
2022-01-01,Samsung Galaxy,Amazon,159.0
2022-01-01,iPhone,Walmart,542.0
2022-01-07,Samsung Galaxy,Amazon,663.0
2022-01-07,Google Pixel,Apple Store,453.0
2022-01-14,Motorola,Best Buy,113.0
2022-01-21,Motorola,Target,360.0
2022-01-21,iPhone,Best Buy,653.0
2022-01-21,iPhone,Amazon,998.0
2022-01-21,Samsung Galaxy,Best Buy,520.0
2022-01-21,Samsung Galaxy,Target,729.0
2022-01-27,Google Pixel,Best Buy,219.0
2022-01-27,Google Pixel,Apple Store,144.0
2022-01-27,Google Pixel,Apple Store,591.0
2022-01-27,iPhone,Apple Store,446.0
2022-01-27,iPhone,Apple Store,446.0
2022-01-27,Motorola,Best Buy,859.0
2022-01-27,Samsung Galaxy,Walmart,110.0
2022-01-27,Google Pixel,Apple Store,783.0
2022-01-27,Motorola,Walmart,947.0
2022-02-03,Motorola,Apple Store,139.0
2022-02-03,Motorola,Walmart,358.0
2022-02-03,iPhone,Apple Store,936.0
2022-02-03,Motorola,Apple Store,594.0
2022-02-03,Motorola,Apple Store,217.0
2022-02-03,LG,Apple Store,855.0
2022-02-03,iPhone,Best Buy,308.0
2022-02-03,LG,Apple Store,318.0
2022-02-03,Motorola,Apple Store,
2022-02-10,Motorola,Apple Store,230.0
2022-02-10,Motorola,Walmart,833.0
2022-02-10,LG,Apple Store,762.0
2022-02-10,Samsung Galaxy,Walmart,383.0
2022-02-10,Motorola,Amazon,123.0
2022-02-17,Samsung Galaxy,Apple Store,
2022-02-17,Google Pixel,Walmart,435.0
2022-02-17,LG,Best Buy,254.0
2022-02-23,Samsung Galaxy,Apple Store,580.0
2022-02-23,LG,Best Buy,293.0
2022-02-23,Google Pixel,Best Buy,902.0
2022-02-23,Google Pixel,Target,360.0
2022-02-23,LG,Apple Store,673.0
2022-02-23,iPhone,Walmart,682.0
2022-02-23,Motorola,Best Buy,395.0
2022-03-02,Motorola,Apple Store,926.0
2022-03-02,Samsung Galaxy,Walmart,381.0
2022-03-02,LG,Target,750.0
2022-03-02,Samsung Galaxy,Walmart,437.0
2022-03-02,Google Pixel,Apple Store,147.0
2022-03-02,Google Pixel,Amazon,661.0
2022-03-02,iPhone,Walmart,336.0
2022-03-02,LG,Walmart,
2022-03-02,LG,Best Buy,718.0
2022-03-09,Google Pixel,Walmart,117.0
2022-03-16,Google Pixel,Target,830.0
2022-03-16,Motorola,Amazon,459.0
2022-03-16,Motorola,Amazon,459.0
2022-03-16,Motorola,Amazon,757.0
2022-03-16,Google Pixel,Amazon,
2022-03-16,Motorola,Amazon,
2022-03-16,iPhone,Best Buy,695.0
2022-03-16,Google Pixel,Apple Store,120.0
2022-03-16,Google Pixel,Best Buy,457.0
2022-03-22,Motorola,Best Buy,
2022-03-22,LG,Amazon,389.0
2022-03-22,Motorola,Best Buy,344.0
2022-03-29,Samsung Galaxy,Best Buy,882.0
2022-03-29,Motorola,Best Buy,940.0
2022-03-29,Motorola,Apple Store,749.0
2022-03-29,Samsung Galaxy,Amazon,
2022-03-29,iPhone,Amazon,225.0
2022-03-29,iPhone,Best Buy,221.0
2022-03-29,Samsung Galaxy,Best Buy,824.0
2022-03-29,iPhone,Best Buy,477.0
2022-04-05,iPhone,Best Buy,343.0
2022-04-05,LG,Target,270.0
2022-04-05,Google Pixel,Amazon,815.0
2022-04-05,Google Pixel,Amazon,403.0
2022-04-05,LG,Target,908.0
2022-04-05,Google Pixel,Walmart,386.0
2022-04-05,Google Pixel,Best Buy,444.0
2022-04-05,LG,Best Buy,411.0
2022-04-05,LG,Best Buy,411.0
2022-04-12,Motorola,Apple Store,307.0
2022-04-12,Google Pixel,Best Buy,133.0
2022-04-12,iPhone,Walmart,252.0
2022-04-12,Google Pixel,Amazon,758.0
2022-04-18,LG,Amazon,592.0
2022-04-18,LG,Apple Store,119.0
2022-04-18,iPhone,Apple Store,264.0
2022-04-18,iPhone,Apple Store,264.0
2022-04-18,Samsung Galaxy,Amazon,744.0
2022-04-18,Samsung Galaxy,Target,401.0
2022-04-18,Motorola,Walmart,845.0
2022-04-18,LG,Apple Store,872.0
2022-04-18,Google Pixel,Amazon,904.0
2022-04-25,Google Pixel,Walmart,586.0
2022-04-25,Samsung Galaxy,Walmart,961.0
2022-04-25,Samsung Galaxy,Apple Store,368.0
2022-04-25,Motorola,Target,665.0
2022-04-25,Motorola,Walmart,744.0
2022-05-02,iPhone,Apple Store,729.0
2022-05-02,iPhone,Target,875.0
2022-05-09,Samsung Galaxy,Target,707.0
2022-05-09,LG,Best Buy,465.0
2022-05-09,Samsung Galaxy,Walmart,184.0
2022-05-15,Motorola,Target,
2022-05-15,iPhone,Walmart,442.0
2022-05-15,Samsung Galaxy,Apple Store,349.0
2022-05-15,Motorola,Walmart,213.0
